	models	N_labels	accuracys
0	Dummy_Classfier	25_positions	0.05154639175257732
1	Dummy_Classfier	9_positions	0.07216494845360824
2	Dummy_Classfier	3_positions	0.29896907216494845
3	Gradien_Boosting	25_positions	0.030927835051546393
4	Gradien_Boosting	9_positions	0.12371134020618557
5	Gradien_Boosting	3_positions	0.4845360824742268
6	Logistic_regression	25_positions	0.05154639175257732
7	Logistic_regression	9_positions	0.14432989690721648
8	Logistic_regression	3_positions	0.5463917525773195
9	SVC	25_positions	0.030927835051546393
10	SVC	9_positions	0.15463917525773196
11	SVC	3_positions	0.4639175257731959
